id,disaster_type,year,num_disasters,num_killed,num_injured,num_affected,num_homeless,total_affected,total_damage
1900:9001,Drought,1900,2,1261000,1,1,1,1,1
1903:9001,Drought,1903,1,1,1,1,1,1,1
1906:9025,Drought,1906,1,1,1,1,1,1,1
1910:9006,Drought,1910,9,85000,1,32000,1,32000,1
1919:9006,Drought,1919,1,1,1,1,1,1,1
1920:9003,Drought,1920,2,524000,1,20000000,1,20000000,1
1921:9001,Drought,1921,1,1200000,1,5000000,1,5000000,1
1928:9002,Drought,1928,1,3000000,1,1,1,1,1
1931:9014,Drought,1931,1,1,1,25000,1,25000,1
1933:9003,Drought,1933,1,1,1,1,1,1,1
1940:9002,Drought,1940,9,20000,1,1,1,1,1
1942:9003,Drought,1942,1,1500000,1,1,1,1,1
1943:9002,Drought,1943,1,1900000,1,1,1,1,1
1946:9004,Drought,1946,1,30000,1,1,1,1,1
1947:9005,Drought,1947,1,1,1,1,1,1,1
1960:9039,Drought,1960,1,1,1,1,1,1,1
1961:9040,Drought,1961,1,1,1,1,1,1,1
1963:9026,Drought,1963,1,1,1,13400,1,13400,1
1964:9002,Drought,1964,7,50,1,2596000,1,2596000,1
1965:9001,Drought,1965,7,1502000,1,101966000,1,101966000,127118
1966:9004,Drought,1966,9,8000,1,360000,1,360000,1
1967:9001,Drought,1967,5,600,1,2878483,1,2878483,600200
1968:9004,Drought,1968,7,1,1,1114217,1,1114217,64000
1969:9006,Drought,1969,14,1,1,9216604,20000,9236604,215200
1970:9005,Drought,1970,2,1,1,10087600,1,10087600,2100
1971:9001,Drought,1971,6,1,1,849000,1,849000,3700
1972:9075,Drought,1972,4,1,1,204700000,1,204700000,187000
1973:9004,Drought,1973,3,119000,1,3230000,1,3230000,76000
1974:9049,Drought,1974,3,1,1,507000,1,507000,1
1975:9133,Drought,1975,1,1,1,1,1,1,1
1976:9126,Drought,1976,10,1,1,7277000,1,7277000,300000
1977:9002,Drought,1977,13,1,1,4251400,1,4251400,3000000
1978:9002,Drought,1978,8,63,1,6547885,1,6547885,2326700
1979:9004,Drought,1979,11,18,1,25992000,1,25992000,200000
1980:9005,Drought,1980,24,3000,1,26940100,1,26940100,1500651
1981:9005,Drought,1981,18,100500,1,9947300,1,9947300,7532103
1982:9007,Drought,1982,6,280,1,122000000,1,122000000,1
1983:9007,Drought,1983,26,450020,1,42684109,1,42684109,1042200
1984:9012,Drought,1984,6,230,1,2352000,1,2352000,1000000
1985:9011,Drought,1985,3,1,1,500000,1,500000,651000
1986:9024,Drought,1986,4,84,1,851000,1,851000,500000
1987:9014,Drought,1987,15,1317,1,317012367,1,317012367,1
1988:9003,Drought,1988,17,1600,1,54199500,1,54199500,1801287
1989:9040,Drought,1989,7,237,1,17060000,1,17060000,1600000
1990:9025,Drought,1990,20,1,1,28285842,1,28285842,7751739
1991:9006,Drought,1991,12,2000,1,19102000,1,19102000,2009000
1992:9090,Drought,1992,11,1,1,28100000,1,28100000,3091800
1993:9472,Drought,1993,9,1,1,3531507,1,3531507,2000
1994:9096,Drought,1994,12,1,1,95015000,1,95015000,13895200
1995:9026,Drought,1995,6,1,1,10871994,1,10871994,112800
1996:9089,Drought,1996,7,1,1,4942000,1,4942000,1742400
1997:9023,Drought,1997,17,732,1,6973300,1,6973300,1515100
1998:9028,Drought,1998,20,20,1,14054335,1,14054335,513200
1999:9037,Drought,1999,26,382,1,102337545,1,102337545,9347000
2000:9138,Drought,2000,25,59,1,78025415,1,78025415,3655165
2001:9044,Drought,2001,22,108,1,32581154,1,32581154,36400
2002:9022,Drought,2002,24,579,1,376956935,1,376956935,7871475
2003:9035,Drought,2003,14,9,1,67732075,1,67732075,691000
2004:9017,Drought,2004,11,80,1,17971500,1,17971500,2991275
2005:9067,Drought,2005,22,161,1,29550990,1,29550990,462120
2006:9016,Drought,2006,9,134,1,23857000,1,23857000,3135573
2007:9288,Drought,2007,11,1,1,5278144,1,5278144,706000
2008:9154,Drought,2008,16,8,1,34068000,1,34068000,234000
2009:9055,Drought,2009,18,1,1,86295500,1,86295500,3628700
2010:9077,Drought,2010,20,1,1,59147657,1,59147657,3884700
2011:9207,Drought,2011,12,1,1,16875515,1,16875515,8142000
2012:9021,Drought,2012,20,1,1,23301085,1,23301085,25480000
2013:9062,Drought,2013,5,1,1,306384,1,306384,2341000
1901:0002,Earthquake (seismic activity),1901,2,18,1,1,1,1,1
1902:0002,Earthquake (seismic activity),1902,3,6747,1,1,1,1,1
1903:0007,Earthquake (seismic activity),1903,1,6000,1,1,1,1,1
1904:0005,Earthquake (seismic activity),1904,1,1,1,1,1,1,1
1905:0001,Earthquake (seismic activity),1905,3,22541,1,1,1,1,1
1906:0001,Earthquake (seismic activity),1906,10,31966,1,1,1,1,630750
1907:0004,Earthquake (seismic activity),1907,4,25600,1,90000,1,90000,30000
1908:0006,Earthquake (seismic activity),1908,3,75000,1,150000,1,150000,116000
1909:0007,Earthquake (seismic activity),1909,3,5146,1,1,1,1,1
1910:0004,Earthquake (seismic activity),1910,3,1762,1,1,1,1,1
1912:0004,Earthquake (seismic activity),1912,2,923,1575,1,1,1575,1
1913:0008,Earthquake (seismic activity),1913,4,150,1,1,1,1,1
1914:0022,Earthquake (seismic activity),1914,4,149,20,1,1,20,1
1915:0002,Earthquake (seismic activity),1915,3,29986,1,1,1,1,61000
1916:0001,Earthquake (seismic activity),1916,1,1,1,1,1,1,1
1917:0003,Earthquake (seismic activity),1917,3,19450,1,1,1,1,1
1918:0004,Earthquake (seismic activity),1918,5,10379,1,1,1,1,29000
1920:0007,Earthquake (seismic activity),1920,3,180000,650,1,1,650,1
1921:0006,Earthquake (seismic activity),1921,1,1,1,1,1,1,1
1922:0001,Earthquake (seismic activity),1922,2,1100,1,1,1,1,1
1923:0006,Earthquake (seismic activity),1923,5,152362,103733,100000,1,203733,600000
1924:0005,Earthquake (seismic activity),1924,2,767,1,1,11250,11250,1
1925:0002,Earthquake (seismic activity),1925,2,5013,1,1,1,1,8000
1926:0014,Earthquake (seismic activity),1926,1,12,1,1,1,1,1
1927:0003,Earthquake (seismic activity),1927,6,206142,50,1,1,50,80000
1928:0001,Earthquake (seismic activity),1928,7,635,209,1,1,209,1
1929:0012,Earthquake (seismic activity),1929,2,3317,1121,1,1,1121,1
1930:0001,Earthquake (seismic activity),1930,7,5081,208,10000,1,10208,1
1931:0001,Earthquake (seismic activity),1931,4,1537,882,11000,1,11882,40000
1932:0007,Earthquake (seismic activity),1932,2,70006,115,1,2960,3075,1
1933:0001,Earthquake (seismic activity),1933,4,16180,1,1,1,1,63500
1934:0001,Earthquake (seismic activity),1934,4,15496,1189,1,1,1189,1
1935:0003,Earthquake (seismic activity),1935,3,66110,1,1,1,1,1
1936:0011,Earthquake (seismic activity),1936,2,26,20,1,1,20,1
1938:0002,Earthquake (seismic activity),1938,2,166,800,1,4710,5510,1
1939:0001,Earthquake (seismic activity),1939,6,63094,58568,1,1,58568,940000
1940:0001,Earthquake (seismic activity),1940,4,1275,1,1,1,1,43000
1941:0001,Earthquake (seismic activity),1941,2,189,1,1,1,1,1
1942:0001,Earthquake (seismic activity),1942,5,7235,16,1,1,16,28000
1943:0007,Earthquake (seismic activity),1943,5,4332,7131,14000,1,21131,100000
1944:0002,Earthquake (seismic activity),1944,4,14984,35000,120000,1,155000,1
1945:0003,Earthquake (seismic activity),1945,4,5961,1,1,1,1,1
1946:0001,Earthquake (seismic activity),1946,8,5153,1,1,1,1,25000
1947:0001,Earthquake (seismic activity),1947,2,633,1,1,1,1,1
1948:0001,Earthquake (seismic activity),1948,5,115618,6000,1,1,6000,1025000
1949:0005,Earthquake (seismic activity),1949,6,6486,528,105000,1,105528,144200
1950:0005,Earthquake (seismic activity),1950,4,1833,200,1,40000,40200,1
1951:0012,Earthquake (seismic activity),1951,3,1554,150,1,1,150,23000
1952:0004,Earthquake (seismic activity),1952,8,2432,450,1,1,450,100900
1953:0001,Earthquake (seismic activity),1953,7,2717,155,50000,1,50155,607310
1954:0002,Earthquake (seismic activity),1954,5,3344,601,1,129250,129851,6000
1955:0002,Earthquake (seismic activity),1955,4,959,2141,1,1,2141,1
1956:0002,Earthquake (seismic activity),1956,5,710,2489,1,1,2489,25000
1957:0004,Earthquake (seismic activity),1957,8,6993,5248,10000,1,15248,25000
1958:0001,Earthquake (seismic activity),1958,4,227,1019,1,1,1019,10100
1959:0010,Earthquake (seismic activity),1959,3,103,1,1,1,1,26000
1960:0002,Earthquake (seismic activity),1960,9,19395,28000,2000000,1250,2029250,810000
1961:0016,Earthquake (seismic activity),1961,2,60,1,1,1,1,1
1962:0001,Earthquake (seismic activity),1962,3,12209,3267,100000,1,103267,30000
1963:0001,Earthquake (seismic activity),1963,3,1700,3843,1,1,3843,840000
1964:0014,Earthquake (seismic activity),1964,7,335,2961,90500,23000,116461,1828000
